model,row_index,true_label,predicted_label,model_score,original_text
Logistic Regression (TF-IDF),25,0,1,0.573119309125445,brief existence sex pistol make film controversial groundbreaking english punk band breakup happen bear however start listen album never mind bs here sex pistol teenager quickly become big fan didnt see great rock n roll swindle saw couple time year think pretty good certainly not great pretty good even could remember bit didnt see connect see third time nearly three year second didnt care much im not even sure find good first place cant remember nowthis film mockumentary sex pistol manager malcolm mclaren tell side story band member guitarist steve jones credit crook drummer paul cook credit teamaker bassist sid vicious credit gimmick john lydon aka johnny rotten credit collaborator mclaren claim create band even genre punk rock scam make money tell much story helen wellingtonlloyd aka helen troy various place go together basically hodgepodge mclaren talk pistols song live footage band fictional scene often silly strange one several cartoon sequence etc put together one film tell pistols manager side story bizarre wayit well prove mclaren liar know many already point include band member not drive force band didnt create nor invent punk rock sex pistols werent even first punk band though unique band member one make band filth fury much believable film band julien temple make film tell point view band member contradict mclarens claim however dishonesty great rock n roll swindle not big problem actually entertain use think certain extent would able overlook like obviously use able third view apart sex pistol song live footage least one mildly amuse cartoon sequence pretty dull found kill bambi song mildly amuse first get tire quicklyis mockumentary worth watch sex pistol fan seem good number fan would say not learn true story shortlived groundbreaking punk band entertainment opinion great rock n roll swindle first time watch couldnt remember thing mclaren say time saw second time aware pistol manager use film imply could still barely remember anything heard say obviously aspect film find impressive third view definitely remember thing mclaren say still wasnt clear like film guess word not memorable probably way theyre present youre pistol fan guess wouldnt hurt give swindle try part incoherent bore mess try funny fails
Logistic Regression (TF-IDF),34,1,0,0.39561979682412163,nyt review say sigourney weaver character taut frustrate later could sister mtms character ordinary people say no way lady quirky start nothing like mtm ordinary people sorrynext nyt go say sigourney weaver sandy travis jeff daniel ben travis something year olds child ms weaver must dance jig believe time make imaginary hero fact year old born nyt perception correction aside pretty good movie consider make someone young obviously sigourney weaver think jeff daniel young man play tim outstandingthere critical comment could make script never really get good sense sandy travis miss son sort blown apart behavior perhaps trigger death behavior last way film felt stagnation marriage relationship tim really come unresolved issue mourn elder son bens mourn much clearso matt travis asshole mom think still watchable film become clear clearer not no role woman certain age rather take director one clearly love old woman m weaver almost make film homage sort antiwoody allen
Logistic Regression (TF-IDF),58,0,1,0.5243805379308403,disliked movie apart sheer ugliness actor someone might actually believe crapfirst second come christ end word jesus christ come judgement day not come human form come full glory god shall judge not sin also consequence action everyone secondly see eternal gay pride illustrate movie unquestionable read bible last night not write anywhere well moses cite different occasion men make love men woman make love man wife kill never inherit kingdom god foul truly u follow bible word word would executions wouldnt think misinform people harm would old testamentthere lot lunatic psychiatric ward think son god make movie truly make think many idiot make movie
Logistic Regression (TF-IDF),62,0,1,0.8000109735406523,not read pat barker union street see film would like unfortuntately not case actually kind film well make no way want say otherwise adaptation fail every anglethe harrow novel reality live northern england workingclass area grab hold heartstrings refuse let go week finish put tear repulsion shock anger sympathy misery read woman union street excellent novel time felt could not read novel simply couldnt put depress yes utterly grippingthe film oh dear hollywood take barker truth reality shower layer sweet ice sugar top beautiful film inspire soundtrack excellent performance tale hope romanceyes adaptation union streetnothe woman union street story condense fondas character story touch many discard accept barker tale sensitive issue horrific mass viewing film around lead protagonist isnt practical content not main issue essence real gut novel lose darkness rain broken window cover cardboard graphically describe stench poverty replace sunshine pretty house twinkle williams scoreif enjoy film positivity hope face reality advise hesitate read book without first prepare something like schindlers listbut without happy end
Logistic Regression (TF-IDF),85,0,1,0.8071115038096038,contrary another reviewer think wellwritten especially fictional great imagination would require well acted no character share focus dozenminutesplus welldone monologue im not entertain solemn pious rememberances everybody story tell interest others everybody problem intense others ten notveryatypical story problem exemplify anybodys life part fodder film think poorly tvs reality show thats bag may like kind stuff would make good phone andor internet gossip absolutely without otherthanverbal action although speaker female im gonna leave gender outta
Logistic Regression (TF-IDF),89,1,0,0.4246407274335723,nurse charlotte bealethe lovely rosie holotikhas arrive dr stephen clinic insane prepare new job doesnt expect find another suppose doctor position stephen attack axewielding maniacal judge oliver w cameronin run gag anytime confronts situation control retreat repeat name doctor geraldine mastersannabelle weenickwho isnt sure whether beale proper fit establishment long discussion positionwhich quite awkward scene two debate beales send letter stephen get job clinic master often remind no long chargemasters agrees let work nursing position good doctor may not seemsthe assortment loony include sambill mcgeea simpleminded childman stephen last victim lobotomy jenniferharryette warrena woman need adult comfort wallow master heel like puppy dannyjessie kirbya troublemaking annoyance often try steal fake baby disturb harrietcamilla carr allysonbetty chandlera sexy nympho want loved hop man see sergeant jaffeehugh feaginyour typical case soldier hasnt escape madness warthe film show master unorthodox method run clinic allow patient roam free door room without lock call questionand not mention fact oliver still allow walk around despite chop dr stephen axe exactly happen dr stephen ah hatacky drivein trash lot fun warp brand cinema im attract bizarre flick mental reject unpredictable natureyou never know hell might happen especially case allow roam often unattended consider low budget liability case film think enhances experience cheap photography weak production valuesbeing shot peanut run house awful locationit seem creepy felt like voyeur peer insanity camera lens outside look
Linear SVM (TF-IDF),12,1,0,-0.2450110902077723,time movie seem get whole lot complicate need guess thats part charm detective philo vances power observation seem great oriental sleuth era combine come final evaluation murder commit drop dagger chinese vase kicker mean couldnt somebody drop vance william powell line early film archer coes psychological impossibility kill think leave wondering there scientific basis fact concept true not study psychology seem logical there always case doesnt fit rulesyou know get kick agitate coroner etienne girardot remind star trek dr mccoy couple time state im doctor not magician im doctor not detective picture deforrest kelley watching film say ill use sometimeonce killer identity reveal doesnt seem like big surprise till really anybodys guess archer brisbane coe aside film didnt answer central question pose title murder really interested kill sir thomas macdonalds dog ghillie
Linear SVM (TF-IDF),17,0,1,0.42928563700166295,guy tell im bulgarian cant remember many time talk american let alone dont slight clue bulgaria say thing like there war go right ive never imagine place like bulgaria people internet go watch bruce campbells man scream brain curious movie cause im bruce campbell fan evil dead trilogy adventure brisco county jr movie shot entirely location bulgaria second alien apocalypse also nearly unwatchable enjoy nice bmovieswell movie present country like neverending gypsy town raid car wave around illegal gun get kill moment bruce line bullht bulgaria offendingted raimi stacy ceach make great team bruce special beat thats nothing see herepeoeple give movie bruce cult status doesnt deserve waste film
Linear SVM (TF-IDF),34,1,0,-0.9511450519237131,nyt review say sigourney weaver character taut frustrate later could sister mtms character ordinary people say no way lady quirky start nothing like mtm ordinary people sorrynext nyt go say sigourney weaver sandy travis jeff daniel ben travis something year olds child ms weaver must dance jig believe time make imaginary hero fact year old born nyt perception correction aside pretty good movie consider make someone young obviously sigourney weaver think jeff daniel young man play tim outstandingthere critical comment could make script never really get good sense sandy travis miss son sort blown apart behavior perhaps trigger death behavior last way film felt stagnation marriage relationship tim really come unresolved issue mourn elder son bens mourn much clearso matt travis asshole mom think still watchable film become clear clearer not no role woman certain age rather take director one clearly love old woman m weaver almost make film homage sort antiwoody allen
Linear SVM (TF-IDF),62,0,1,0.771634402231247,not read pat barker union street see film would like unfortuntately not case actually kind film well make no way want say otherwise adaptation fail every anglethe harrow novel reality live northern england workingclass area grab hold heartstrings refuse let go week finish put tear repulsion shock anger sympathy misery read woman union street excellent novel time felt could not read novel simply couldnt put depress yes utterly grippingthe film oh dear hollywood take barker truth reality shower layer sweet ice sugar top beautiful film inspire soundtrack excellent performance tale hope romanceyes adaptation union streetnothe woman union street story condense fondas character story touch many discard accept barker tale sensitive issue horrific mass viewing film around lead protagonist isnt practical content not main issue essence real gut novel lose darkness rain broken window cover cardboard graphically describe stench poverty replace sunshine pretty house twinkle williams scoreif enjoy film positivity hope face reality advise hesitate read book without first prepare something like schindlers listbut without happy end
Linear SVM (TF-IDF),85,0,1,1.3203427614955563,contrary another reviewer think wellwritten especially fictional great imagination would require well acted no character share focus dozenminutesplus welldone monologue im not entertain solemn pious rememberances everybody story tell interest others everybody problem intense others ten notveryatypical story problem exemplify anybodys life part fodder film think poorly tvs reality show thats bag may like kind stuff would make good phone andor internet gossip absolutely without otherthanverbal action although speaker female im gonna leave gender outta
Linear SVM (TF-IDF),89,1,0,-0.38018637641657055,nurse charlotte bealethe lovely rosie holotikhas arrive dr stephen clinic insane prepare new job doesnt expect find another suppose doctor position stephen attack axewielding maniacal judge oliver w cameronin run gag anytime confronts situation control retreat repeat name doctor geraldine mastersannabelle weenickwho isnt sure whether beale proper fit establishment long discussion positionwhich quite awkward scene two debate beales send letter stephen get job clinic master often remind no long chargemasters agrees let work nursing position good doctor may not seemsthe assortment loony include sambill mcgeea simpleminded childman stephen last victim lobotomy jenniferharryette warrena woman need adult comfort wallow master heel like puppy dannyjessie kirbya troublemaking annoyance often try steal fake baby disturb harrietcamilla carr allysonbetty chandlera sexy nympho want loved hop man see sergeant jaffeehugh feaginyour typical case soldier hasnt escape madness warthe film show master unorthodox method run clinic allow patient roam free door room without lock call questionand not mention fact oliver still allow walk around despite chop dr stephen axe exactly happen dr stephen ah hatacky drivein trash lot fun warp brand cinema im attract bizarre flick mental reject unpredictable natureyou never know hell might happen especially case allow roam often unattended consider low budget liability case film think enhances experience cheap photography weak production valuesbeing shot peanut run house awful locationit seem creepy felt like voyeur peer insanity camera lens outside look
Linear SVM (TF-IDF),95,1,0,-0.5170013515858459,dance fool dance early crawfordgable vehicle crawford play bonnie jordan wealthy young woman whose life consist party booze strip clothes jump yacht go swim end father die leave brother william blakewell penniless bonnie get job newspaper use name mary smith brother go work bootlegger head man jake luva portray clark gable play yet another crook later course would turn romantic hero early mgm use bad guy not realize brother involved illegal activity bonnie cozy luvagable crawford make great team facial expression little wild side along dance one thing make movie fun look cliff edward voice jiminy cricket bertits always interest see precode movie dance fool dance no exception
Linear SVM (TF-IDF),109,1,0,-0.6300281984358426,well definitely see many people actually expect bad good part not expect still fail area thoughfirst act average love phillip seymour hoffman movie like tom hank hoffman glue movie not movie would crumble hit rock bottom performance no mean stun absolutely necessary give good witty cynical performance actor could easily make character clich tom hank really give nice loose performance not disappoint certainly not impress could not stand julia robert involve movie big miscast ever see one bad actress least young character phony even character playingthe directing average im not really big fan recent mike nichols movie im not exactly impressed one either make hollywoodish cartoonish touch hat could not stand bad part try make really meaningful movie end love meaningful movie not movie try rush scene two end show something try justify rest garbage spread throughout whole movie something mike nichols seem do lot recent track recordthe one impressive part movie write dialog put together well able let story play write able really able take movie average level many scene find laugh part writingwell saw least lot scenery good movie get mean not lot like movie not glorify everything america do obvious whole war afghanistan u give weapon people u movie kind show blame show may seem good short term may turn something horribly wrong future movie good original message not deliver right overall though entertain
Random Forest (TF-IDF),3,0,1,0.515,prove cop cant find real perpetrator always blame parent accuse sexual abuse kid movie always depict press bunch animal parent come court fee press hunger humiliate griefstricken hasnt anybody ever hear courthouse back door movie psychic tell exactly happen body find police not tell nobody heed findingsthe police portray blockhead dont know there always outside detective like ed asner come late case believe parent solves mysteryalso parent clear dont spit face dumb cop put jail take kid away accused kill childit look ive see film many time
Random Forest (TF-IDF),12,1,0,0.455,time movie seem get whole lot complicate need guess thats part charm detective philo vances power observation seem great oriental sleuth era combine come final evaluation murder commit drop dagger chinese vase kicker mean couldnt somebody drop vance william powell line early film archer coes psychological impossibility kill think leave wondering there scientific basis fact concept true not study psychology seem logical there always case doesnt fit rulesyou know get kick agitate coroner etienne girardot remind star trek dr mccoy couple time state im doctor not magician im doctor not detective picture deforrest kelley watching film say ill use sometimeonce killer identity reveal doesnt seem like big surprise till really anybodys guess archer brisbane coe aside film didnt answer central question pose title murder really interested kill sir thomas macdonalds dog ghillie
Random Forest (TF-IDF),18,1,0,0.485,see full length film kieslowski make episode decalogue year ago come back viewer watch complete ten vignettes film one loosely base fifth commandment thou shalt not killkryzsztof kieslowski write kryzsztof piesewicz take look mind young man commit heinous crime murder innocent person vent frustration installment dostoyevskian character keep remind u crime punishment least quality novel pass aimless youth apparently no redeem qualitiesthe story show young man roams street city without clear idea go tender moment display visit photographer place ask old picture sister restore kieslowski leaf fate murderer board taxi intention rob driver anger frustration get best youth kill man didnt deserve die last moment criminal one gripping sequence film past presentthe element story relationship public defendant criminal nothing prevent court condemn death young man lawyer feel end fail client go judge see go wrong asked young man retrieve picture send motherkieslowskis account interprets fifth commandment make surprising film stay viewer mind long episode forgotten
Random Forest (TF-IDF),28,0,1,0.58,tiresome plod la vega casino heist movie almost impossible watch get involve something look absolutely nothing else well two decent thing movie attach gorgeous stella stevens one spend entire program hoping shell fall one skimpy top wear many great shot mids las vega still cool place visit fashion day good giggle well otherwise one big yawn rhino dvd good widescreen transfer even buck still aint worth humble opinion
Random Forest (TF-IDF),33,1,0,0.425,time travel past tenuous best topic episode man think possibility find date location assassination abraham lincoln try everything think short time available predictable result course think quite mad arrest eventually remand man attempt stop serling bright enough let return present present kind precursor time tunnel time traveler weekly basis give task overcome already happen unfortunately implication distortion time future always negate result unless something like ray bradbury sound thunder
Random Forest (TF-IDF),34,1,0,0.49,nyt review say sigourney weaver character taut frustrate later could sister mtms character ordinary people say no way lady quirky start nothing like mtm ordinary people sorrynext nyt go say sigourney weaver sandy travis jeff daniel ben travis something year olds child ms weaver must dance jig believe time make imaginary hero fact year old born nyt perception correction aside pretty good movie consider make someone young obviously sigourney weaver think jeff daniel young man play tim outstandingthere critical comment could make script never really get good sense sandy travis miss son sort blown apart behavior perhaps trigger death behavior last way film felt stagnation marriage relationship tim really come unresolved issue mourn elder son bens mourn much clearso matt travis asshole mom think still watchable film become clear clearer not no role woman certain age rather take director one clearly love old woman m weaver almost make film homage sort antiwoody allen
Random Forest (TF-IDF),37,1,0,0.42,never see original death wish book either death wish film however death wish interested film wellknown vigilante paul kersey try visit friend charlie visit couple minute die charlie didnt pay protection huge infamous underground gang lead manny franker altercation time jail kersey learn franker fight jail agenda make new york city hellfire also influence send henchman set crime every time everywhere everyday due chance give insp richard shriker know profile well like much kersey decide set war franker gangi accept death wish iii one straightedge extreme violence action film see past movie use straightedge way tell story no ponderous storytelling less unnecessary scene one merit movie next issue violence use pervasively film believe many viewer could like action scene death wish iii show crude extreme blast action every minute movie especially climax scene movie death manny franker think maximum action scenefor cast think everyone good get role charles bronson make everybody believe still great paul kersey didnt look like big old cat great vigilante gavan oherlihy also job good main villain role movie make look nasty look like big bad guy however role kathryn davis movie pathetic didnt look like main character think appear two three scene kill franker follower make heat paul kersey could role appearfor comment straightedge style extreme violence make movie great extreme action film fan fastpaced back forth style make movie interested watch nevertheless movie silly scene plot hole first scene inspshriker face paul kersey first time corny attack favor guy want help similar punch guy try borrow money haha thats like joke although liked plot twist inspshriker show later help kersey first shriker look like villain much due act kersey movie go climax everything clear no hidden agenda kerseyin another case end scene movie set back stumble everyones feel end easy frankers gang member look unbelievable found franker dead girlfriend follower decide escape finally inspshriker allow paul kersey fly town police catch think style end scene could find many cannon film movie dislike itfor summary ok death wish due explanation type first cast action good extreme even scene dont like straightedge extreme violence could best short description movie
Random Forest (TF-IDF),50,0,1,0.525,spoiler prc quickie j carrol naish playing dr igor markoff who not really dr karkoff impostor take identity back europe real dr karkoff affair drmarkoffs wife lead murder real drmarkoff wife lenore infected acromegaly make look like elephant man sister do no one would ever want look could keep lenore disturbed lenore later get even insane husband kill nut fake dr markoff spot patricia lawrence wanda mckay one evening theater father tony lawernce ralph morgan world famous pianist give concert enchant lovely patricia who dead ringer dead wife lenore dr markoff becomes obsess go extreme length marry even though shes want nothing himafter get ridicule effort get patricia fall love send flower syrupy love note attach much five time daytony go see crazed dr mankoff tell stop annoy daughter tony end get knock good doctor inject dose acromegaly turn somewhat unsightly fellow hand body swell not able play beloved piano tony tell doctor dr adamssam flint one cure dreadful disease non dr markoff person give movie usual subplots dr markoff assistant maxinetala birell who also love jealous phony doctor make play patricia there also dr markoff hulk butler glenn strange like pet gorilla big clumsy oaf cant even subdue maxine who less half size strange end get bop head knock cold patricias boyfriend bobby blake terry frost gorilla turn big hairy wimp also try maxine chase away lock back cage pet dog ace dr markoff desperation get patricia marry promise cure dad father break chain ensue struggle end shoot markoff dead gun happy end whole mess maxine know much markoff cure acromegaly inject tony secret serum make good new movie end like start tony play piano pack cheer house local theater
LSTM (Keras),7,0,1,0.5422996878623962,st watch dirsteve purcell typical mary kate ashley fare kiss look like girl get pretty tire stuff interest happens ever decide split go way episode adventure interns rome fashion designer put right mailroom learn work hard abouti guess besides typical flirtation boys nothing much else except rome scenario way movie finally reveal get fire rehired fire rehired definetly make people dont understand corporate world show interpretation maybe real world next adventureif one even kid didnt seem care boring adventure makebelieve let see probably couple year till legal adult well see happens
LSTM (Keras),33,1,0,0.29524722695350647,time travel past tenuous best topic episode man think possibility find date location assassination abraham lincoln try everything think short time available predictable result course think quite mad arrest eventually remand man attempt stop serling bright enough let return present present kind precursor time tunnel time traveler weekly basis give task overcome already happen unfortunately implication distortion time future always negate result unless something like ray bradbury sound thunder
LSTM (Keras),34,1,0,0.357925683259964,nyt review say sigourney weaver character taut frustrate later could sister mtms character ordinary people say no way lady quirky start nothing like mtm ordinary people sorrynext nyt go say sigourney weaver sandy travis jeff daniel ben travis something year olds child ms weaver must dance jig believe time make imaginary hero fact year old born nyt perception correction aside pretty good movie consider make someone young obviously sigourney weaver think jeff daniel young man play tim outstandingthere critical comment could make script never really get good sense sandy travis miss son sort blown apart behavior perhaps trigger death behavior last way film felt stagnation marriage relationship tim really come unresolved issue mourn elder son bens mourn much clearso matt travis asshole mom think still watchable film become clear clearer not no role woman certain age rather take director one clearly love old woman m weaver almost make film homage sort antiwoody allen
LSTM (Keras),41,1,0,0.4912755489349365,good original not better course cruella steal show outrageous behaviour outfit movie probably make public want see cruella see lot time round also like ioan gruffudd kevin rather bumble male lead use paris climax movie clever idea movie well worth watch whatever age provide like animal
LSTM (Keras),58,0,1,0.5954321622848511,disliked movie apart sheer ugliness actor someone might actually believe crapfirst second come christ end word jesus christ come judgement day not come human form come full glory god shall judge not sin also consequence action everyone secondly see eternal gay pride illustrate movie unquestionable read bible last night not write anywhere well moses cite different occasion men make love men woman make love man wife kill never inherit kingdom god foul truly u follow bible word word would executions wouldnt think misinform people harm would old testamentthere lot lunatic psychiatric ward think son god make movie truly make think many idiot make movie
LSTM (Keras),62,0,1,0.9617854356765747,not read pat barker union street see film would like unfortuntately not case actually kind film well make no way want say otherwise adaptation fail every anglethe harrow novel reality live northern england workingclass area grab hold heartstrings refuse let go week finish put tear repulsion shock anger sympathy misery read woman union street excellent novel time felt could not read novel simply couldnt put depress yes utterly grippingthe film oh dear hollywood take barker truth reality shower layer sweet ice sugar top beautiful film inspire soundtrack excellent performance tale hope romanceyes adaptation union streetnothe woman union street story condense fondas character story touch many discard accept barker tale sensitive issue horrific mass viewing film around lead protagonist isnt practical content not main issue essence real gut novel lose darkness rain broken window cover cardboard graphically describe stench poverty replace sunshine pretty house twinkle williams scoreif enjoy film positivity hope face reality advise hesitate read book without first prepare something like schindlers listbut without happy end
LSTM (Keras),85,0,1,0.8321240544319153,contrary another reviewer think wellwritten especially fictional great imagination would require well acted no character share focus dozenminutesplus welldone monologue im not entertain solemn pious rememberances everybody story tell interest others everybody problem intense others ten notveryatypical story problem exemplify anybodys life part fodder film think poorly tvs reality show thats bag may like kind stuff would make good phone andor internet gossip absolutely without otherthanverbal action although speaker female im gonna leave gender outta
